period,ratio,keyword
2025-01-26,1.44188,레인코트
2025-01-27,2.33866,레인코트
2025-01-28,1.9694,레인코트
2025-01-29,1.88148,레인코트
2025-01-30,2.03973,레인코트
2025-01-31,2.74309,레인코트
2025-02-01,3.60471,레인코트
2025-02-02,2.72551,레인코트
2025-02-03,2.46175,레인코트
2025-02-04,3.86847,레인코트
2025-02-05,3.92122,레인코트
2025-02-06,2.62001,레인코트
2025-02-07,4.07947,레인코트
2025-02-08,3.67504,레인코트
2025-02-09,3.4992,레인코트
2025-02-10,3.41128,레인코트
2025-02-11,5.16968,레인코트
2025-02-12,6.41814,레인코트
2025-02-13,4.94109,레인코트
2025-02-14,5.11693,레인코트
2025-02-15,4.9235,레인코트
2025-02-16,5.41586,레인코트
2025-02-17,5.55653,레인코트
2025-02-18,4.78283,레인코트
2025-02-19,4.64216,레인코트
2025-02-20,4.74767,레인코트
2025-02-21,5.04659,레인코트
2025-02-22,4.18498,레인코트
2025-02-23,5.82029,레인코트
2025-02-24,6.92808,레인코트
2025-02-25,7.4556,레인코트
2025-02-26,7.43801,레인코트
2025-02-27,7.08633,레인코트
2025-02-28,6.36539,레인코트
2025-03-01,7.24459,레인코트
2025-03-02,9.425,레인코트
2025-03-03,10.3042,레인코트
2025-03-04,9.98769,레인코트
2025-03-05,7.35009,레인코트
2025-03-06,5.64445,레인코트
2025-03-07,4.2729,레인코트
2025-03-08,3.79813,레인코트
2025-03-09,4.39599,레인코트
2025-03-10,4.02672,레인코트
2025-03-11,4.18498,레인코트
2025-03-12,4.51907,레인코트
2025-03-13,4.30807,레인코트
2025-03-14,4.18498,레인코트
2025-03-15,5.60928,레인코트
2025-01-17,0.1055,기타코트
2025-01-27,0.08791,기타코트
2025-02-03,0.08791,기타코트
2025-02-14,0.12308,기타코트
2025-03-15,0.1055,기타코트
2025-01-15,39.21223,니트
2025-01-16,33.53261,니트
2025-01-17,31.54563,니트
2025-01-18,35.94162,니트
2025-01-19,39.47599,니트
2025-01-20,35.81853,니트
2025-01-21,34.6404,니트
2025-01-22,32.75892,니트
2025-01-23,30.13891,니트
2025-01-24,25.3209,니트
2025-01-25,26.3056,니트
2025-01-26,27.46615,니트
2025-01-27,26.93863,니트
2025-01-28,24.75822,니트
2025-01-29,26.85071,니트
2025-01-30,29.83998,니트
2025-01-31,27.99366,니트
2025-02-01,29.94548,니트
2025-02-02,32.63583,니트
2025-02-03,30.45542,니트
2025-02-04,32.98751,니트
2025-02-05,32.09073,니트
2025-02-06,30.40267,니트
2025-02-07,29.06629,니트
2025-02-08,32.42482,니트
2025-02-09,32.45999,니트
2025-02-10,31.63355,니트
2025-02-11,30.63126,니트
2025-02-12,32.53033,니트
2025-02-13,28.20467,니트
2025-02-14,27.53648,니트
2025-02-15,29.06629,니트
2025-02-16,33.7612,니트
2025-02-17,30.15649,니트
2025-02-18,31.26428,니트
2025-02-19,29.08387,니트
2025-02-20,27.39581,니트
2025-02-21,24.05486,니트
2025-02-22,25.84842,니트
2025-02-23,29.45313,니트
2025-02-24,26.85071,니트
2025-02-25,23.17566,니트
2025-02-26,23.91419,니트
2025-02-27,24.01969,니트
2025-02-28,21.54035,니트
2025-03-01,24.19553,니트
2025-03-02,23.58009,니트
2025-03-03,25.72533,니트
2025-03-04,19.79954,니트
2025-03-05,18.86759,니트
