period,ratio,keyword
2025-02-05,8.26873,Length_Short
2025-02-06,6.97674,Length_Short
2025-02-07,6.71834,Length_Short
2025-02-08,8.78552,Length_Short
2025-02-09,8.78552,Length_Short
2025-02-10,8.01033,Length_Short
2025-02-11,11.3695,Length_Short
2025-02-12,9.56072,Length_Short
2025-02-13,10.07751,Length_Short
2025-02-14,17.31266,Length_Short
2025-02-15,17.05426,Length_Short
2025-02-16,24.5478,Length_Short
2025-02-17,18.34625,Length_Short
2025-02-18,20.41343,Length_Short
2025-02-19,21.44702,Length_Short
2025-02-20,14.21188,Length_Short
2025-02-21,10.33591,Length_Short
2025-02-22,20.67183,Length_Short
2025-02-23,19.12144,Length_Short
2025-02-24,21.96382,Length_Short
2025-02-25,26.35658,Length_Short
2025-02-26,26.61498,Length_Short
2025-02-27,18.60465,Length_Short
2025-02-28,21.96382,Length_Short
2025-03-01,40.05167,Length_Short
2025-03-02,48.06201,Length_Short
2025-03-03,46.77002,Length_Short
2025-03-04,55.03875,Length_Short
2025-03-05,51.67958,Length_Short
2025-03-06,53.74677,Length_Short
2025-03-07,51.16279,Length_Short
2025-03-08,60.98191,Length_Short
2025-03-09,64.85788,Length_Short
2025-03-10,69.76744,Length_Short
2025-03-11,75.96899,Length_Short
2025-03-12,83.97932,Length_Short
2025-03-13,84.23772,Length_Short
2025-03-14,100.0,Length_Short
2025-03-15,86.04651,Length_Short
2025-03-01,66.66666,Length_Midi
2025-03-02,55.55555,Length_Midi
2025-03-07,100.0,Length_Midi
2025-03-09,66.66666,Length_Midi
